nnet,tarantula,ochiai,zoltar,kulczynski1,kulczynski2,wong,wong1,wong2,tandg
0.72310757,0.139442231,0.105577689,0.105577689,0.105577689,0.105577689,0.105577689,0.426294821,0.581673307,0.193227092
0.683266932,0.551792829,0.509960159,0.509960159,0.462151394,0.551792829,0.462151394,0.462151394,0.452191235,0.462151394
0.219123506,0.731075697,0.868525896,0.868525896,0.768924303,0.868525896,0.868525896,0.868525896,0.011952191,0.868525896
0.619521912,0.460159363,0.324701195,0.324701195,0.324701195,0.324701195,0.324701195,0.426294821,0.747011952,0.312749004
0.978087649,0.990039841,0.703187251,0.703187251,0.737051793,0.655378486,0.655378486,0.643426295,0.976095618,0.643426295
0.820717131,0.207171315,0.607569721,0.607569721,0.641434263,0.607569721,0.607569721,0.653386454,0.298804781,0.653386454
0,0.478087649,0.647410359,0.647410359,0.647410359,0.647410359,0.868525896,0.868525896,0.011952191,0.868525896
0.091633466,0.533864542,0.509960159,0.509960159,0.509960159,0.509960159,0.509960159,0.547808765,0.434262948,0.509960159
0.790836653,0.207171315,0.607569721,0.607569721,0.641434263,0.607569721,0.607569721,0.653386454,0.298804781,0.653386454
0.262948207,0.043824701,0.043824701,0.043824701,0.043824701,0.043824701,0.043824701,0.043824701,0.5,0.009960159
0.097609562,0.752988048,0.741035857,0.741035857,0.752988048,0.707171315,0.653386454,0.653386454,0.298804781,0.653386454
0.75498008,0.780876494,0.814741036,0.814741036,0.814741036,0.868525896,0.868525896,0.868525896,0.045816733,0.868525896
0.826693227,0.800796813,0.800796813,0.800796813,0.800796813,0.880478088,0.800796813,0.880478088,0.011952191,0.880478088
0.705179283,0.492031873,0.868525896,0.868525896,0.868525896,0.868525896,0.868525896,0.868525896,0.011952191,0.868525896
0.924302789,0.990039841,0.703187251,0.703187251,0.790836653,0.703187251,0.537848606,0.525896414,0.976095618,0.525896414
0.816733068,0.990039841,0.703187251,0.703187251,0.737051793,0.69123506,0.703187251,0.525896414,0.976095618,0.643426295
0.978087649,0.990039841,0.756972112,0.756972112,0.790836653,0.756972112,0.537848606,0.525896414,0.976095618,0.525896414
0.880478088,0.478087649,0.647410359,0.647410359,0.647410359,0.647410359,0.868525896,0.868525896,0.011952191,0.868525896
